note_id,account_alias,industry_segment,region,interaction_date,interaction_type,opportunity_stage,note_author_role,crm_owner,product_interest_area,estimated_deal_band,source_channel,note_body,current_blocker_tag,existing_next_action_field
CRM-0071,Account-FQL-1071,B2B Services,UK,2026-06-11,Demo Follow-up,Closed-Lost Follow-up,Sales Manager,AE-01,Agentic Task Routing,250K+,Pipeline review note,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0072,Account-FQL-1072,Real Estate Services,US-East,2026-06-12,Partner Handover,Demo Scheduled,RevOps,AE-01,Data Connector,100K-250K,CRM note,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0073,Account-FQL-1073,Education Services,US-East,2026-06-15,Email Summary,Closed-Lost Follow-up,CSM,SE-02,AI Document Assistant,250K+,Email copied to CRM,"Pipeline note: Account-FQL-1073 still comparing two vendors. They asked for customer references from similar education services accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0074,Account-FQL-1074,Professional Services,APAC,2026-06-15,Internal Pipeline Review,Pilot,Sales Manager,CSM-02,Agentic Task Routing,25K-50K,CRM note,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0075,Account-FQL-1075,Logistics,APAC,2026-06-15,Email Summary,Proposal Sent,Sales Manager,SE-02,Agentic Task Routing,<25K,Pipeline review note,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0076,Account-FQL-1076,FinTech Services,India-North,2026-06-16,Renewal Check-in,Pilot,RevOps,CSM-02,Agentic Task Routing,50K-100K,Email copied to CRM,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0077,Account-FQL-1077,SaaS Operations,India-West,2026-06-17,Renewal Check-in,Renewal Review,AE,CSM-01,Data Connector,100K-250K,Call summary,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0078,Account-FQL-1078,Marketplace Operations,APAC,2026-04-01,Email Summary,Closed-Lost Follow-up,SE,AE-01,Analytics Dashboard,50K-100K,Call summary,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
CRM-0079,Account-FQL-1079,Education Services,MEA,2026-04-02,Technical Clarification Call,Commercial Review,SE,Manager-01,Agentic Task Routing,100K-250K,Email copied to CRM,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0080,Account-FQL-1080,FinTech Services,APAC,2026-04-03,Procurement Update,Commercial Review,RevOps,CSM-01,Analytics Dashboard,25K-50K,Email copied to CRM,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0081,Account-FQL-1081,B2B Services,India-North,2026-04-06,Renewal Check-in,Proposal Sent,SE,CSM-02,Knowledge Search,<25K,Call summary,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0082,Account-FQL-1082,Logistics,MEA,2026-04-06,Account Review,Procurement,RevOps,AE-01,AI Document Assistant,50K-100K,CRM note,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0083,Account-FQL-1083,Manufacturing,UK,2026-04-06,Email Summary,Demo Completed,AE,AE-01,Knowledge Search,100K-250K,Pipeline review note,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0084,Account-FQL-1084,Insurance Operations,US-East,2026-04-07,Sales Call,Demo Completed,RevOps,RevOps-01,Analytics Dashboard,<25K,Pipeline review note,Call w/ ops lead. They liked the Analytics Dashboard flow but are waiting on InfoSec notes before moving proposal ahead. RevOps-01 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
CRM-0085,Account-FQL-1085,Insurance Operations,India-South,2026-04-08,Sales Call,Negotiation,CSM,AE-03,Knowledge Search,<25K,Call summary,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0086,Account-FQL-1086,B2B Services,US-West,2026-04-09,Renewal Check-in,Negotiation,Sales Manager,SE-02,Reporting Suite,100K-250K,Email copied to CRM,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0087,Account-FQL-1087,Professional Services,US-West,2026-04-10,Sales Call,Commercial Review,Sales Manager,AE-02,CRM Integration,25K-50K,Email copied to CRM,"Pipeline note: Account-FQL-1087 still comparing two vendors. They asked for customer references from similar professional services accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0088,Account-FQL-1088,Real Estate Services,India-South,2026-04-13,Renewal Check-in,Demo Completed,CSM,Manager-01,Analytics Dashboard,25K-50K,CRM note,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0089,Account-FQL-1089,Education Services,APAC,2026-04-13,Email Summary,Negotiation,RevOps,AE-01,CRM Integration,50K-100K,Email copied to CRM,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0090,Account-FQL-1090,Marketplace Operations,APAC,2026-04-13,Renewal Check-in,Demo Scheduled,RevOps,CSM-01,Data Connector,<25K,Call summary,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0091,Account-FQL-1091,Real Estate Services,India-North,2026-04-14,Account Review,Commercial Review,AE,AE-01,AI Document Assistant,50K-100K,Email copied to CRM,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0092,Account-FQL-1092,Insurance Operations,India-South,2026-04-15,Procurement Update,Pilot,SE,CSM-02,Reporting Suite,100K-250K,CRM note,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
CRM-0093,Account-FQL-1093,Professional Services,India-West,2026-04-16,Technical Clarification Call,Legal/Security Review,Sales Manager,CSM-02,Workflow Automation,<25K,Call summary,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0094,Account-FQL-1094,Real Estate Services,India-West,2026-04-17,Procurement Update,Closed-Lost Follow-up,Sales Manager,AE-01,AI Document Assistant,100K-250K,Pipeline review note,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0095,Account-FQL-1095,Logistics,India-North,2026-04-20,Internal Pipeline Review,Negotiation,SE,AE-02,Reporting Suite,50K-100K,Pipeline review note,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0096,Account-FQL-1096,FinTech Services,US-East,2026-04-20,Demo Follow-up,Closed-Lost Follow-up,CSM,SE-01,Data Connector,100K-250K,Email copied to CRM,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0097,Account-FQL-1097,Real Estate Services,US-West,2026-04-20,Sales Call,Renewal Review,SE,AE-02,Agentic Task Routing,50K-100K,Email copied to CRM,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0098,Account-FQL-1098,B2B Services,US-West,2026-04-21,Sales Call,Renewal Review,Sales Manager,RevOps-01,Data Connector,<25K,Call summary,Call w/ ops lead. They liked the Data Connector flow but are waiting on InfoSec notes before moving proposal ahead. RevOps-01 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
CRM-0099,Account-FQL-1099,SaaS Operations,US-East,2026-04-22,Email Summary,Negotiation,SE,AE-01,CRM Integration,50K-100K,Call summary,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0100,Account-FQL-1100,Logistics,APAC,2026-04-23,Demo Follow-up,Pilot,AE,CSM-01,AI Document Assistant,50K-100K,CRM note,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
